Player_Sleeper,KTC_Value
Jayden Daniels,9997
Josh Allen,9995
Ja'Marr Chase,9987
Lamar Jackson,9627
Justin Jefferson,9257
Malik Nabers,8736
Jahmyr Gibbs,8318
Joe Burrow,8306
Bijan Robinson,8274
Brock Bowers,8116
Jalen Hurts,8030
CeeDee Lamb,8005
Ashton Jeanty,7741
Brian Thomas,7736
Amon-Ra St. Brown,7542
Puka Nacua,7383
Patrick Mahomes,6939
Drake Maye,6648
Justin Herbert,6645
Drake London,6623
Caleb Williams,6605
Trey McBride,6588
Nico Collins,6582
C.J. Stroud,6561
Bo Nix,6558
Ladd McConkey,6556
Marvin Harrison,6522
Saquon Barkley,6491
Jaxon Smith-Njigba,6328
2025 Early 1st,6254
Omarion Hampton,6188
Garrett Wilson,6041
Jordan Love,6035
De'Von Achane,6027
Travis Hunter,5835
A.J. Brown,5797
2027 Early 1st,5791
Bucky Irving,5747
2026 Early 1st,5740
Brock Purdy,5693
Tetairoa McMillan,5637
J.J. McCarthy,5537
TreVeyon Henderson,5524
Breece Hall,5503
Trevor Lawrence,5498
Cameron Ward,5462
Kyler Murray,5457
Tee Higgins,5451
Jonathan Taylor,5438
Baker Mayfield,5393
Rashee Rice,5372
2025 Mid 1st,5368
Sam LaPorta,5329
Michael Penix,5323
Quinshon Judkins,5305
DeVonta Smith,5182
Kyren Williams,5165
Rome Odunze,5131
2026 Mid 1st,4923
Bryce Young,4858
2027 Mid 1st,4811
Emeka Egbuka,4811
Chase Brown,4768
Kenneth Walker,4756
Josh Jacobs,4748
Kaleb Johnson,4748
RJ Harvey,4743
Xavier Worthy,4730
James Cook,4720
2025 Late 1st,4681
Jordan Addison,4680
Tyler Warren,4665
Christian McCaffrey,4663
Colston Loveland,4650
Dak Prescott,4634
Jared Goff,4606
Jameson Williams,4561
Derrick Henry,4549
Zay Flowers,4522
DK Metcalf,4504
Chris Olave,4468
Jaxson Dart,4440
2026 Late 1st,4409
Jaylen Waddle,4396
Matthew Golden,4356
Terry McLaurin,4341
2027 Late 1st,4300
DJ Moore,4292
George Pickens,4244
George Kittle,4212
Chuba Hubbard,4172
Luther Burden,4165
Ricky Pearsall,4135
T.J. Hockenson,4041
2025 Early 2nd,3874
Justin Fields,3860
Brandon Aiyuk,3853
Tua Tagovailoa,3838
Jayden Higgins,3834
Mike Evans,3784
Jerry Jeudy,3783
Joe Mixon,3751
Alvin Kamara,3680
Jayden Reed,3678
David Montgomery,3673
Tre Harris,3672
Chris Godwin,3655
Tyreek Hill,3635
Sam Darnold,3620
Khalil Shakir,3619
2026 Early 2nd,3558
Josh Downs,3557
Davante Adams,3555
Keon Coleman,3501
Cam Skattebo,3484
Anthony Richardson,3463
2025 Mid 2nd,3443
2027 Early 2nd,3392
Jack Bech,3350
Courtland Sutton,3322
Geno Smith,3278
Michael Pittman,3277
Tucker Kraft,3271
Kyle Pitts,3265
Jalen Milroe,3256
Kyle Williams,3256
Dalton Kincaid,3227
Brian Robinson,3215
Zach Charbonnet,3201
D'Andre Swift,3196
Isaiah Likely,3189
Isiah Pacheco,3189
Jauan Jennings,3184
2026 Mid 2nd,3170
James Conner,3163
Trey Benson,3154
Bhayshul Tuten,3147
David Njoku,3141
Jakobi Meyers,3130
2025 Late 2nd,3116
Matthew Stafford,3113
Mark Andrews,3089
Tony Pollard,3072
Tyrone Tracy,3058
Jaylin Noel,3019
2027 Mid 2nd,3018
Aaron Jones,2976
Travis Etienne,2943
Deebo Samuel,2931
Tyler Shough,2927
Jalen McMillan,2902
Jaydon Blue,2892
Jaylen Warren,2869
Calvin Ridley,2864
2026 Late 2nd,2861
Darnell Mooney,2856
Mason Taylor,2856
Terrance Ferguson,2853
Xavier Legette,2848
Evan Engram,2838
Tank Bigsby,2838
Jonnu Smith,2819
Jordan Mason,2816
Tyjae Spears,2799
2027 Late 2nd,2790
Cooper Kupp,2788
Travis Kelce,2777
Jake Ferguson,2769
Braelon Allen,2759
Javonte Williams,2751
Rashid Shaheed,2745
Marvin Mims,2733
Najee Harris,2726
Shedeur Sanders,2723
Brenton Strange,2708
Stefon Diggs,2702
Cedric Tillman,2689
Isaac Guerendo,2681
Dylan Sampson,2678
Pat Freiermuth,2677
Jaylen Wright,2677
Cade Otton,2626
Rashod Bateman,2613
Harold Fannin,2601
Adonai Mitchell,2598
Elijah Arroyo,2597
Pat Bryant,2595
Rhamondre Stevenson,2582
Devin Neal,2575
Jalen Royals,2575
2025 Early 3rd,2565
Ray Davis,2557
Rachaad White,2555
Jonathon Brooks,2546
Tank Dell,2526
Romeo Doubs,2525
Ben Sinnott,2496
Jalen Coker,2477
2025 Mid 3rd,2457
Dallas Goedert,2426
2026 Early 3rd,2408
Quentin Johnston,2396
Tyler Allgeier,2388
Jarquez Hunter,2385
Jordan James,2383
Wan'Dale Robinson,2371
Elic Ayomanor,2367
Trevor Etienne,2354
DJ Giddens,2354
Hollywood Brown,2348
Roman Wilson,2339
Christian Watson,2327
MarShawn Lloyd,2322
Blake Corum,2315
2027 Early 3rd,2276
Ja'Tavion Sanders,2267
Roschon Johnson,2263
Christian Kirk,2225
Ollie Gordon,2224
2026 Mid 3rd,2223
2025 Late 3rd,2212
Will Howard,2212
Isaac TeSlaa,2200
Daniel Jones,2175
Cole Kmet,2168
Alec Pierce,2166
Troy Franklin,2162
Dontayvion Wicks,2154
Demario Douglas,2128
Woody Marks,2105
Joe Milton,2100
Tory Horton,2090
Rico Dowdle,2080
2027 Mid 3rd,2075
Audric Estime,2059
Kendre Miller,2055
Russell Wilson,2052
Theo Johnson,2048
Joshua Palmer,2035
Dalton Schultz,2030
2026 Late 3rd,2025
Michael Wilson,2019
Dillon Gabriel,2016
J.K. Dobbins,2015
Chigo Okonkwo,2010
Brashard Smith,1995
Luke Musgrave,1985
Tahj Brooks,1977
Mike Gesicki,1944
Michael Mayer,1942
Keaton Mitchell,1931
2027 Late 3rd,1915
Noah Gray,1904
Xavier Restrepo,1904
Kyle Monangai,1898
Andrei Iosivas,1885
Jerome Ford,1879
Savion Williams,1863
Kirk Cousins,1862
Damien Martinez,1861
Elijah Moore,1855
Austin Ekeler,1839
Jaleel McLaughlin,1839
Hunter Henry,1837
Kayshon Boutte,1834
Will Shipley,1830
Jordan Whittington,1829
Quinn Ewers,1829
2025 Early 4th,1807
Zach Ertz,1789
Spencer Rattler,1785
Ja'Lynn Polk,1785
Sean Tucker,1772
Oronde Gadsden,1772
Luke McCaffrey,1765
Isaiah Davis,1763
Amari Cooper,1751
Tre Tucker,1740
Tai Felton,1735
2026 Early 4th,1734
2025 Mid 4th,1733
Malik Washington,1719
Jaylin Lane,1684
Chimere Dike,1683
Calvin Austin,1673
2025 Late 4th,1669
Jermaine Burton,1668
Gunnar Helm,1666
Nick Chubb,1635
Jalin Hyatt,1624
Tutu Atwell,1620
Jameis Winston,1619
Dyami Brown,1617
2027 Early 4th,1613
Kareem Hunt,1612
Keenan Allen,1612
Parker Washington,1607
Juwan Johnson,1604
Darius Slayton,1601
2026 Mid 4th,1594
Tez Johnson,1588
DeAndre Hopkins,1582
Jacory Croskey-Merritt,1581
Noah Fant,1573
Sam Howell,1573
Elijah Mitchell,1565
Adam Thielen,1555
Javon Baker,1553
Kenny Pickett,1548
Dawson Knox,1542
Zack Moss,1523
Malachi Corley,1518
Jalen Tolbert,1507
Mason Rudolph,1489
Justice Hill,1488
Jalen Nailor,1482
Jimmy Horn,1476
Luke Schoonmaker,1473
Tyler Lockett,1454
Erick All,1447
Will Levis,1446
Aaron Rodgers,1438
2026 Late 4th,1432
Devaughn Vele,1430
2027 Mid 4th,1424
Jahan Dotson,1406
Cade Stover,1401
Diontae Johnson,1397
Malik Willis,1371
Trey Palmer,1371
AJ Barner,1368
Dont'e Thornton,1357
Jacob Cowing,1355
Curtis Samuel,1345
Tyler Conklin,1335
Dameon Pierce,1333
Kimani Vidal,1325
Devin Singletary,1320
Mac Jones,1310
John Metchie,1305
Jonathan Mingo,1290
Emanuel Wilson,1282
Nick Westbrook-Ikhine,1272
Devontez Walker,1266
2027 Late 4th,1264
Khalil Herbert,1260
Ty Johnson,1254
Joe Flacco,1252
LeQuint Allen,1249
Greg Dortch,1238
Rondale Moore,1237
Antonio Gibson,1235
Miles Sanders,1225
Xavier Hutchinson,1223
